,WagThrust_s,WagCThrust_stuv,WagThrust_t,WagThrust_u,WagThrust_v,WagCTorque_stuv,WagTorque_s,WagTorque_t,WagTorque_u,WagTorque_v
0,0.0,0.00880496,0.0,0.0,0.0,0.00379368,0.0,0.0,0.0,0.0
1,1.0,-0.204554,0.0,0.0,0.0,0.00886523,2.0,0.0,0.0,0.0
2,0.0,0.166351,1.0,0.0,0.0,-0.032241,1.0,1.0,0.0,0.0
3,0.0,0.158114,2.0,0.0,0.0,0.00344778,0.0,2.0,0.0,0.0
4,2.0,-0.147581,0.0,1.0,0.0,-0.0408811,0.0,1.0,1.0,0.0
5,1.0,-0.481497,1.0,1.0,0.0,-0.108009,1.0,1.0,1.0,0.0
6,0.0,0.415437,2.0,1.0,0.0,-0.0885381,2.0,1.0,1.0,0.0
7,0.0,0.0144043,0.0,0.0,1.0,0.188561,0.0,2.0,1.0,0.0
8,2.0,-0.0530054,0.0,0.0,1.0,-0.00370871,1.0,0.0,0.0,1.0
9,0.0,0.0143481,1.0,0.0,1.0,0.00513696,0.0,1.0,0.0,1.0
10,1.0,0.0606826,1.0,0.0,1.0,0.0209449,1.0,1.0,0.0,1.0
11,0.0,-0.0125894,0.0,1.0,1.0,0.00474319,2.0,1.0,0.0,1.0
12,1.0,0.0109689,0.0,1.0,1.0,-0.00723408,2.0,0.0,1.0,1.0
13,0.0,-0.133698,3.0,0.0,0.0,0.00438388,1.0,1.0,1.0,1.0
14,0.0,0.00638407,6.0,0.0,0.0,-0.0269403,0.0,2.0,1.0,1.0
15,2.0,-0.00132718,6.0,0.0,0.0,0.0558082,3.0,0.0,1.0,0.0
16,3.0,0.168496,0.0,1.0,0.0,0.0161886,0.0,3.0,1.0,0.0
17,0.0,-0.0507214,0.0,2.0,0.0,0.00318086,1.0,3.0,1.0,0.0
18,2.0,0.0854559,0.0,2.0,0.0,0.015896,0.0,0.0,2.0,0.0
19,3.0,-0.0504475,0.0,2.0,0.0,0.0471729,1.0,0.0,2.0,0.0
20,1.0,0.010465,6.0,2.0,0.0,0.0196283,3.0,0.0,2.0,0.0
21,2.0,-0.00648272,6.0,2.0,0.0,-0.0502782,0.0,1.0,2.0,0.0
22,0.0,-0.00841728,3.0,0.0,1.0,-0.030055,3.0,1.0,2.0,0.0
23,1.0,0.0168424,3.0,0.0,1.0,0.0417122,2.0,2.0,2.0,0.0
24,3.0,-0.00102296,3.0,0.0,1.0,-0.0397722,0.0,3.0,2.0,0.0
25,0.0,-0.0317791,3.0,1.0,1.0,-0.00350024,0.0,6.0,2.0,0.0
26,1.0,0.018604,0.0,2.0,1.0,-0.0106854,3.0,0.0,0.0,1.0
27,0.0,-0.00410798,2.0,2.0,1.0,0.00110903,3.0,3.0,0.0,1.0
28,0.0,-0.000606848,0.0,0.0,2.0,-0.000313912,0.0,6.0,0.0,1.0
29,1.0,-0.0049819,0.0,0.0,2.0,0.0035985,3.0,0.0,1.0,1.0
30,2.0,0.0025983,0.0,0.0,2.0,-0.00142121,0.0,6.0,1.0,1.0
31,3.0,-0.000560528,0.0,0.0,2.0,-0.00383637,1.0,0.0,2.0,1.0
32,1.0,-0.00163652,2.0,0.0,2.0,0.0126803,0.0,2.0,2.0,1.0
33,1.0,-0.000328787,6.0,0.0,2.0,-0.00318278,2.0,3.0,2.0,1.0
34,2.0,0.000116502,6.0,0.0,2.0,0.00334268,0.0,6.0,2.0,1.0
35,0.0,0.000690904,0.0,1.0,2.0,-0.00183491,1.0,1.0,0.0,2.0
36,0.0,0.00421749,3.0,1.0,2.0,0.000112451,3.0,2.0,0.0,2.0
37,3.0,5.65229e-05,6.0,1.0,2.0,-2.97228e-05,3.0,6.0,0.0,2.0
38,0.0,-0.00146564,3.0,2.0,2.0,0.000269551,1.0,0.0,1.0,2.0
