Axy 4-55,Cxy 4-55,Bxy 4-55
-0.375,-0.0347,-0.0451
-0.20305,0.018568,0
0.830306,0,0
-2.74693,0,-0.663741
0,-0.195582,-0.244626
0,0.317452,0
0.067548,-0.093739,0
2.03007,0.158951,0.244461
-0.392301,-0.048433,-0.578464
-0.611743,0,1.11682
4.31984,0.024157,0.751953
-0.34129,0,0
0,-0.123376,0
0,0,-0.08916
-3.03167,-0.212253,0
0,0,-0.146178
0,0,-0.917516
-2.00786,0,0
0,0,0
0,0,0
0,0,0
2.83697,0.156133,0.068186
0,0,0.174041
0,0,0.102334
0.391304,0,0
0,0,0
0,0,0
0,0,0
-0.994962,0,0
0,0.03074,0
0,0.073587,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.031826,0
0.015742,-0.014568,0
0,-0.109363,0
0,0,0
0,0.043862,0
0,0,0
0,0,0
0.043782,0.007947,-0.008581
0,0,0
0,0.038275,0
0,0,0
0,-0.021971,0
0,0,0
0,0.0007,0
